group_label,model_name,parameter_left,parameter_right,correlation
31-40,juttner_2c,U_1,norm_2,0.0006096790748619514
31-40,juttner_2c,U_1,temperature_2,-0.000592559038532007
31-40,juttner_2c,U_1,U_2,4.9752045733263855e-08
31-40,juttner_2c,norm_2,norm_1,0.686826556505579
31-40,juttner_2c,norm_2,temperature_1,-0.7499933835661131
31-40,juttner_2c,norm_2,U_1,0.0006096790748619514
31-40,juttner_2c,norm_2,norm_2,1.0000000000000002
31-40,juttner_2c,norm_2,temperature_2,-0.9906247569051592
31-40,juttner_2c,norm_2,U_2,-3.078454106993879e-05
31-40,juttner_2c,temperature_2,norm_1,-0.6678319398542726
31-40,juttner_2c,temperature_2,temperature_1,0.7302033957256517
31-40,juttner_2c,temperature_2,U_1,-0.000592559038532007
31-40,juttner_2c,temperature_2,norm_2,-0.9906247569051592
31-40,juttner_2c,temperature_2,temperature_2,0.9999999999999999
31-40,juttner_2c,temperature_2,U_2,-0.002842889350103735
31-40,juttner_2c,U_2,norm_1,5.844940346232882e-05
31-40,juttner_2c,U_2,temperature_1,-6.178086819565702e-05
31-40,juttner_2c,U_2,U_1,4.9752045733263855e-08
31-40,juttner_2c,U_2,norm_2,-3.078454106993879e-05
31-40,juttner_2c,U_2,temperature_2,-0.002842889350103735
31-40,juttner_2c,U_2,U_2,1.0
31-40,bose_2c,norm_1,norm_1,1.0000000000000002
31-40,bose_2c,norm_1,temperature_1,-0.567744350689543
31-40,bose_2c,norm_1,U_1,0.07468003800816693
31-40,bose_2c,norm_1,norm_2,0.6715127502759084
31-40,bose_2c,norm_1,temperature_2,-0.6493022783849304
31-40,bose_2c,norm_1,U_2,0.0008050415528068517
31-40,bose_2c,temperature_1,norm_1,-0.567744350689543
31-40,bose_2c,temperature_1,temperature_1,1.0000000000000002
31-40,bose_2c,temperature_1,U_1,0.7703051424202624
31-40,bose_2c,temperature_1,norm_2,-0.49058477777883547
31-40,bose_2c,temperature_1,temperature_2,0.47503306175402266
31-40,bose_2c,temperature_1,U_2,-0.0005723487315798352
31-40,bose_2c,U_1,norm_1,0.07468003800816693
31-40,bose_2c,U_1,temperature_1,0.7703051424202624
31-40,bose_2c,U_1,U_1,1.0
31-40,bose_2c,U_1,norm_2,-0.02520057424742432
31-40,bose_2c,U_1,temperature_2,0.024336156814242275
31-40,bose_2c,U_1,U_2,-3.0132859151952966e-05
31-40,bose_2c,norm_2,norm_1,0.6715127502759084
31-40,bose_2c,norm_2,temperature_1,-0.49058477777883547
31-40,bose_2c,norm_2,U_1,-0.02520057424742432
31-40,bose_2c,norm_2,norm_2,1.0
31-40,bose_2c,norm_2,temperature_2,-0.9889090655482728
31-40,bose_2c,norm_2,U_2,-0.0005875900638656487
31-40,bose_2c,temperature_2,norm_1,-0.6493022783849304
31-40,bose_2c,temperature_2,temperature_1,0.47503306175402266
31-40,bose_2c,temperature_2,U_1,0.024336156814242275
